页面,一级菜单,二级菜单,功能,描述,优先级,备注
实时监控大屏,顶部栏,-,今日接待人数展示,展示今日闸机入园累计人数（来源：绿云系统）,P0,较昨日增减百分比
实时监控大屏,顶部栏,-,在线车辆数展示,展示当前GPS在线车辆数/总车辆数（GPS 10分钟内更新算在线）,P0,
实时监控大屏,顶部栏,-,系统健康状态展示,展示各子系统健康状态（GPS/地图API/绿云接口/摄像头/车载系统/后端服务）,P0,点击展开详情抽屉窗
实时监控大屏,顶部栏,-,系统状态详情抽屉窗,展示各服务状态（绿灯正常/红灯故障）及断开时长,P1,从顶部栏点击进入
实时监控大屏,信息区,车辆列表Tab,车辆列表展示,展示所有录入系统的车辆（车牌号/状态/满载率/位置）,P0,按在线状态和满载率排序
实时监控大屏,信息区,车辆列表Tab,车辆位置实时刷新,车辆GPS位置每秒刷新并平滑移动显示,P0,
实时监控大屏,信息区,车辆列表Tab,车辆状态筛选,支持按全部/行驶中/静止/离线筛选车辆列表,P1,
实时监控大屏,信息区,车辆列表Tab,车辆行点击交互,点击车辆行后地图对应车辆高亮+居中+弹出浮窗,P0,
实时监控大屏,信息区,车辆列表Tab,车辆满载率颜色区分,空载绿色/半载蓝色/满载橙色/离线灰色,P0,
实时监控大屏,信息区,车辆列表Tab,车辆高亮状态,选中车辆行背景色高亮显示,P1,
实时监控大屏,信息区,车辆列表Tab,满载预警提示,满载率>70%时边框变色提示,P2,
实时监控大屏,信息区,车辆列表Tab,离线车辆降级显示,离线>30分钟降低不透明度显示,P2,
实时监控大屏,信息区,站点列表Tab,站点列表展示,展示所有站点（名称/状态灯/排队人数/即将到达/预计等待）,P0,
实时监控大屏,信息区,站点列表Tab,站点人数实时刷新,站点排队人数每秒刷新（来源：主摄像头YOLO计数）,P0,数字变化时闪烁
实时监控大屏,信息区,站点列表Tab,站点状态区分,正常绿色/拥挤黄色/危险红色（阈值：20/40人）,P0,
实时监控大屏,信息区,站点列表Tab,站点淡旺季切换,淡季时神女湖站点显示未开放或隐藏,P1,
实时监控大屏,信息区,站点列表Tab,站点行点击交互,点击站点行后地图对应站点高亮+居中+弹出浮窗,P0,
实时监控大屏,信息区,站点列表Tab,站点高亮状态,选中站点行背景色高亮显示,P1,
实时监控大屏,地图区,-,高德地图接入,接入高德地图JavaScript API，使用默认样式,P0,
实时监控大屏,地图区,-,地图默认视角,默认显示全景区范围，不做缩放功能,P0,
实时监控大屏,地图区,-,地图控件隐藏,隐藏缩放按钮、鹰眼，仅保留比例尺,P0,
实时监控大屏,地图区,-,接驳路线显示,4条接驳路线用浅色虚线标注在地图上,P1,
实时监控大屏,地图区,-,车辆图标展示,简化巴士俯视图，32x32px，车牌号显示在图标下方,P0,
实时监控大屏,地图区,-,车辆图标高亮,选中车辆图标放大至48px+金色发光边框+脉冲动画,P0,
实时监控大屏,地图区,-,车辆行驶动画,行驶中车辆图标轻微呼吸动画（大小变化）,P1,
实时监控大屏,地图区,-,站点标记展示,圆点+站点名称+排队人数标签（白色数字深色底）,P0,
实时监控大屏,地图区,-,站点标记动画,黄色慢闪（2秒/次）/红色快闪+扩散波纹（1秒/次）,P0,
实时监控大屏,地图区,-,车辆浮窗展示,点击车辆弹出浮窗：车牌/状态/位置/载客情况,P0,无行驶方向/目的地/预计到达/更新时间
实时监控大屏,地图区,-,站点浮窗展示,点击站点弹出浮窗：名称/状态/排队/即将到达/预计等待/最近车辆,P0,
实时监控大屏,地图区,-,地图点击空白处交互,点击地图空白处关闭所有浮窗,P1,
实时监控大屏,地图区,-,地图联动信息区,点击地图车辆/站点后信息区自动切换Tab并高亮对应行,P1,
实时监控大屏,消息推送区,-,消息列表展示,右侧栏卡片式列表，按时间倒序排列,P0,
实时监控大屏,消息推送区,-,日预测消息生成,每日18:00自动生成明日客流预测+推荐车辆数,P1,算法待详细设计
实时监控大屏,消息推送区,-,周预测消息生成,每周一18:00自动生成下周每日预测+推荐车辆,P1,算法待详细设计
实时监控大屏,消息推送区,-,预防性预警生成,前置检测50人涌入+可用车辆<2辆时触发,P0,蓝色卡片
实时监控大屏,消息推送区,-,补救性预警生成,主摄像头排队>40人时触发,P0,红色卡片
实时监控大屏,消息推送区,-,预测消息详情弹窗,点击日/周预测卡片弹出蒙版+详情（趋势图/表格）,P1,
实时监控大屏,消息推送区,-,预警消息地图定位,点击预警卡片【查看】按钮地图自动定位到站点,P0,
实时监控大屏,消息推送区,-,预警消息声音提示,新预警出现时播放短促提示音（可关闭）,P1,
实时监控大屏,消息推送区,-,消息生命周期管理,日预测24小时归档/周预测7天替换/预警1小时消失,P2,
